station_id,lat,lng
SPRINGGULLY,-36.804869,144.279156
131.1,-42.10502778,146.2020833
ODSS_57569_WSLAHD.1,-32.6760495,116.100205
ODSS_21137_WSLAHD.1,-32.6760495,116.100205
PI_321984.1,-33.107073,116.0456435
ODSS_42363_GLEVN.1,-33.107073,116.0456435
ODSS_45532_WSLAHD.1,-33.107073,116.0456435
ODSS_18315_WSLAHD.1,-33.107073,116.0456435
401569,-36.22064444,148.1089389
226230A,-38.07768889,146.2279389
228224A,-38.0214,145.941
418043,-29.4472,150.0336
553.1,-42.30563889,146.4174444
225256A,-37.837,146.39
41010971,-34.6455,146.1365
203042,-28.6185,152.7936
A5040531.1,-34.86494831,138.7748339
158.1,-41.44755556,147.0868333
170.1,-42.28194444,146.4652778
410572A,-35.62396389,148.2999167
422340A,-27.9913595,151.758276
422340A,-27.99138,151.75796
215212.1,-34.749206,150.3447575
215212.3,-34.749206,150.3447575
410543,-35.79570833,148.6631972
130109A,-22.955783,149.423351
TAYLORS,-36.77312,142.38656
138005A,-25.65041421,152.6653108
125015A,-21.21755,148.66505
ODSS_18325_WSLAHD.1,-33.963617,115.1248985
ODSS_61927_WSLAHD.1,-33.963617,115.1248985
145033A,-27.909,152.881
138008A,-25.57206,152.7181
110014A,-17.164314,145.546399
TOOLONDO,-37.01325,141.947
401565,-36.05471667,148.2782083
sp-o11430,-35.9491905,144.47741
410771,-35.41905556,149.0738333
sp-o11454,-37.09296795,143.8637307
410545,-35.92665,148.3622139
410542,-35.96495556,148.3900722
212283.3,-33.695258,150.2997795
212283.1,-33.695258,150.2997795
UPPERCOLIBAN,-37.288668,144.393997
RE604,-37.8233,144.2062
RE604A,-37.8233,144.2062
RE604B,-37.8233,144.2062
A5040530,-35.0416,138.5916
119008A,-19.562898,147.095823
PI_342930.1,-32.043836,116.075355
sp-o11534,-36.556052,145.096115
229130A,-37.6429,145.555
190.1,-42.40216667,146.5171389
231221A,-37.74471,144.56932
231221A,-37.7446,144.57
295.1,-41.89611111,145.5297222
421148,-32.7259,149.7675
407313A,-37.39072,144.17505
462.1,-42.07641667,147.0270278
412010,-33.9688,148.9517
141014A,-26.569487,152.919823
PI_321994.1,-32.8480895,115.996525
ODSS_46394_WSLAHD.1,-32.8480895,115.996525
ODSS_47359_WSLAHD.1,-32.8480895,115.996525
212243.3,-33.9925245,150.421642
212243.1,-33.9925245,150.421642
423202C,-28.116875,145.6866028
SAWWARRRS.1,-34.70606599,138.9244543
WARTOOK,-37.07561,142.45338
1392,-16.97947521,145.6746228
PI_321995.1,-33.385948,116.0100675
ODSS_18320_WSLAHD.1,-33.385948,116.0100675
ODSS_57614_WSLAHD.1,-33.385948,116.0100675
RE750,-38.53182732,143.7209973
RE851,-38.59899654,143.6537143
416401A,-28.467399,150.954623
233232A,-37.517683,143.924324
212212.1,-34.5559095,150.4975415
212212.3,-34.5559095,150.4975415
143036A,-27.312063,152.54542
213210.3,-34.139494,150.9468655
213210.1,-34.139494,150.9468655
PI_342931.1,-32.2204575,116.080426
ODSS_57570_WSLAHD.1,-32.2204575,116.080426
ODSS_21140_WSLAHD.1,-32.2204575,116.080426
RE704,-38.2822277,144.050396
136113A,-25.20059,150.9898
229406A,-37.5523,145.129
41000212,-34.88593374,146.2771092
41010981,-34.703,146.4176
229102A,-37.673072,145.90096
138112A,-26.50967519,152.5818648
sp-o10814,-36.0103075,146.091535
6150002,-32.59697157,117.6269034
410791,-35.17719444,149.1278333
