STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
40004,94568,YAMB,AMBERLEY AMO,QLD,OPEN,3/7/1997,,-27.6297,152.7111,24.2,24.9,27.7
40043,94594,CPMN,CAPE MORETON LIGHTHOUSE,QLD,OPEN,3/8/1995,,-27.0314,153.4661,99.9,100.8,
40068,94584,YDLP,DOUBLE ISLAND POINT LIGHTHOUSE,QLD,OPEN,19/6/1995,,-25.9319,153.1906,95.64,95.7,
40082,94562,YGAT,UNIVERSITY OF QUEENSLAND GATTON,QLD,OPEN,5/7/2002,,-27.5436,152.3375,89,,
40093,94566,GYM,GYMPIE,QLD,OPEN,6/4/2000,,-26.1831,152.6414,64.5,65,
40126,94567,YMYB,MARYBOROUGH,QLD,OPEN,13/12/2007,,-25.5161,152.7156,10.277,10.8,6.1
40211,94575,YBAF,ARCHERFIELD AIRPORT,QLD,OPEN,14/2/1992,,-27.5717,153.0078,12.5,13,19.2
40223,,,BRISBANE AERO,QLD,CLOSED,1/12/1987,14/2/2000,-27.4178,153.1142,4,5,4
40282,,,NAMBOUR DPI,QLD,CLOSED,20/6/1996,17/12/2007,-26.6431,152.9392,32.5,33.1,
40284,95566,BEER,BEERBURRUM FOREST STATION,QLD,OPEN,15/3/1999,,-26.9586,152.9619,48,,
40405,95565,YHBA,HERVEY BAY AIRPORT,QLD,OPEN,10/3/1999,,-25.322,152.8817,12.98,13,18.3
40555,94558,TLRA,TOOLARA (KELLY),QLD,OPEN,21/10/1997,,-25.9713,152.8609,143,,
40651,94557,JMNA,JIMNA FORESTRY,QLD,OPEN,18/11/1999,,-26.6644,152.4606,523,,
40717,94592,YBCG,COOLANGATTA,QLD,OPEN,15/1/1993,,-28.1681,153.5053,4,4.7,6.4
40764,94580,GOLD,GOLD COAST SEAWAY,QLD,OPEN,1/8/1990,,-27.939,153.4283,2.98,4.2,
40842,94578,YBBN,BRISBANE AERO,QLD,OPEN,10/12/1992,,-27.3917,153.1292,4.51,9.5,4
40861,94569,YBSU,SUNSHINE COAST AIRPORT,QLD,OPEN,17/6/1994,,-26.6006,153.0903,3.3,4,3.3
40908,94570,TEW,TEWANTIN RSL PARK,QLD,OPEN,19/12/1995,,-26.3911,153.0403,6.4,7.5,
40913,94576,BRIS,BRISBANE,QLD,OPEN,2/12/1999,,-27.4808,153.0389,8.13,8.3,
40922,94549,YKRY,KINGAROY AIRPORT,QLD,OPEN,19/1/2001,,-26.5737,151.8398,433.671,434.5,454.8
40925,94591,MBPS,BANANA BANK NORTH BEACON,QLD,OPEN,23/8/2002,,-27.5327,153.3333,7,,
40926,94590,MBPC,INNER RECIPROCAL MARKER,QLD,OPEN,24/7/2002,,-27.2637,153.2417,20,,
40927,94581,MBPN,SPITFIRE CHANNEL BEACON,QLD,OPEN,24/7/2002,,-27.0481,153.2664,7,,
40958,95591,REDC,REDCLIFFE,QLD,OPEN,2/2/2004,,-27.2169,153.0922,12.6,13.1,
40959,95592,REDJ,REDCLIFFE JETTY,QLD,OPEN,2/2/2004,,-27.2261,153.1172,3.55,,
40983,95575,BEAU,BEAUDESERT DRUMLEY STREET,QLD,OPEN,13/8/2007,,-27.9707,152.9898,47.81,48.4,
40987,,,GOLD COAST SAND BYPASS JETTY,QLD,OPEN,10/6/2009,,-27.9387,153.4326,,,
40988,95572,NAM,NAMBOUR DPI - HILLSIDE,QLD,OPEN,18/12/2007,,-26.6442,152.9383,53.24,54,
41097,95573,IGWD,INGLEWOOD FOREST,QLD,OPEN,10/2/2000,,-28.3429,150.9363,379,,
